Ref;Quantité;LIVRFINLU;TIERSLU;Libelle client;Statut;Tiers livré;REFEXTERNELU;Date debut Validité
W000037335;1960;03/27/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;04/02/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;04/10/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;04/17/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;04/24/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;04/30/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1540;05/08/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2240;05/15/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;05/22/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;05/29/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;06/05/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;06/12/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2240;06/19/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;06/26/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
